Sample Time,Vehicle Speed,Engine Speed,Engine Fuel Rate,Vehicle Fuel Rate
00:00.0,0,700,0.26,0.26
00:00.0,0,696,0.26,0.26
00:00.1,0,699,0.26,0.26
00:00.1,0,700,0.26,0.26
00:00.2,0,703,0.26,0.26
00:00.3,0,707,0.26,0.26
00:00.3,0,710,0.26,0.26
00:00.4,0,708,0.26,0.26
00:00.5,0,710,0.26,0.26
00:00.5,0,710,0.26,0.26
00:00.6,0,714,0.26,0.26
00:00.6,0,706,0.26,0.26
00:00.7,0,697,0.26,0.26
00:00.8,0,692,0.26,0.26
00:00.8,0,699,0.26,0.26
00:00.9,0,701,0.26,0.26
00:01.0,0,710,0.26,0.26
00:01.0,0,717,0.26,0.26
00:01.0,0,715,0.26,0.26
00:01.1,0,718,0.26,0.26
00:01.2,0,715,0.26,0.26
00:01.2,0,714,0.26,0.26
00:01.3,0,714,0.26,0.26
00:01.4,0,703,0.26,0.26
00:01.4,0,697,0.26,0.26
00:01.5,0,696,0.26,0.26
00:01.5,0,697,0.26,0.26
00:01.6,0,699,0.26,0.26
00:01.7,0,707,0.26,0.26
00:01.7,0,707,0.26,0.26
00:01.8,0,714,0.26,0.26
00:01.8,0,709,0.26,0.26
00:01.9,0,710,0.26,0.26
00:01.9,0,707,0.26,0.26
00:02.0,0,709,0.26,0.26
00:02.0,0,702,0.26,0.26
00:02.1,0,696,0.26,0.26
00:02.1,0,690,0.26,0.26
00:02.2,0,690,0.26,0.26
00:02.2,0,693,0.26,0.26
00:02.3,0,695,0.26,0.26
00:02.3,0,700,0.26,0.26
00:02.4,0,707,0.26,0.26
00:02.5,0,707,0.26,0.26
00:02.5,0,704,0.26,0.26
00:02.6,0,705,0.26,0.26
00:02.6,0,702,0.26,0.26
00:02.7,0,701,0.26,0.26
00:02.8,0,694,0.26,0.26
00:02.8,0,686,0.26,0.26
00:02.9,0,684,0.26,0.26
00:03.0,0,693,0.26,0.26
00:03.0,0,697,0.26,0.26
00:03.1,0,711,0.26,0.26
00:03.1,0,716,0.26,0.26
00:03.2,0,715,0.26,0.26
00:03.3,0,715,0.26,0.26
00:03.3,0,717,0.26,0.26
00:03.4,0,717,0.26,0.26
00:03.4,0,709,0.26,0.26
00:03.5,0,703,0.26,0.26
00:03.5,0,700,0.26,0.26
00:03.6,0,703,0.26,0.26
00:03.6,0,700,0.26,0.26
00:03.7,0,698,0.26,0.26
00:03.8,0,708,0.26,0.26
00:03.8,0,707,0.26,0.26
00:03.9,0,708,0.26,0.26
00:03.9,0,709,0.26,0.26
00:04.0,0,709,0.26,0.26
00:04.1,0,705,0.26,0.26
00:04.1,0,700,0.26,0.26
00:04.2,0,691,0.26,0.26
00:04.3,0,688,0.26,0.26
00:04.3,0,691,0.26,0.26
00:04.4,0,691,0.26,0.26
00:04.4,0,696,0.26,0.26
00:04.5,0,706,0.26,0.26
00:04.5,0,703,0.26,0.26
00:04.6,0,706,0.26,0.26
00:04.6,0,703,0.26,0.26
00:04.7,0,706,0.26,0.26
00:04.8,0,706,0.26,0.26
00:04.8,0,705,0.26,0.26
00:04.9,0,696,0.26,0.26
00:04.9,0,689,0.26,0.26
00:05.0,0,695,0.26,0.26
00:05.1,0,695,0.26,0.26
00:05.2,0,698,0.26,0.26
00:05.2,0,710,0.26,0.26
00:05.3,0,715,0.26,0.26
00:05.3,0,713,0.26,0.26
00:05.4,0,711,0.26,0.26
00:05.5,0,714,0.26,0.26
00:05.5,0,707,0.26,0.26
00:05.6,0,696,0.26,0.26
00:05.7,0,691,0.26,0.26
00:05.7,0,694,0.26,0.26
00:05.8,0,695,0.26,0.26
00:05.9,0,703,0.26,0.26
